código_fornecedor,nome,categoria,status
FOR0001,Ambev,Alimentação,ativo
FOR0002,JBS,Alimentação,ativo
FOR0003,Nestlé,Alimentação,ativo
FOR04,Gimba,Suplementos,ativo
FOR0005,Kalunga,Suplementos,ativo
FOR0006,Americanas,Suplementos,ativo
FOR0001,,Suplementos,ativo
FOR0001,Fabercastell,Suplementos,inativo
FOR0009,Correios,Transporte,inativo
FOR0010,Loggi,Transporte,ativo
FOR0011,JSL,,
FOR0012,Klabin,Consumiveis,inativo
FOR0002,Suzano,,ativo
FOR0014,,Consumiveis,ativo
FOR0015,Terphane,Consumiveis,inativo
FOR0016,WestRock,Consumiveis,
FOR0017,,Limpeza,ativo
FOR0018,Kimberly-Clark,Limpeza,ativo
FOR0019,Brimak,Limpeza,falso
FOR0020,Danny,Limpeza,
